order_id,expected_amount,order_date,customer_ref,status,payment_id,source,run_id,batch_id,ingestion_timestamp
ORD_SYNTH_0000,5655.42,2026-08-28,CUST_9935,completed,PAY_SYNTH_0000,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0001,29565.58,2026-09-02,CUST_4257,completed,PAY_SYNTH_0001,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0002,32529.23,2026-08-28,CUST_3615,completed,PAY_SYNTH_0002,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0003,21188.46,2026-08-29,CUST_6635,completed,PAY_SYNTH_0003,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0004,13299.59,2026-08-21,CUST_2291,completed,PAY_SYNTH_0004,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0005,14729.6,2026-08-07,CUST_4733,completed,PAY_SYNTH_0005,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0006,14540.46,2026-08-28,CUST_6977,completed,PAY_SYNTH_0006,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0007,18572.03,2026-08-27,CUST_3803,completed,PAY_SYNTH_0007,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0008,36483.43,2026-08-23,CUST_6313,completed,PAY_SYNTH_0008,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0009,38438.85,2026-08-09,CUST_4456,completed,PAY_SYNTH_0009,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0010,43830.74,2026-08-15,CUST_8517,completed,PAY_SYNTH_0010,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0011,13317.52,2026-08-18,CUST_7543,completed,PAY_SYNTH_0011,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0012,11044.11,2026-08-19,CUST_3504,completed,PAY_SYNTH_0012,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0013,8083.1,2026-08-16,CUST_9669,completed,PAY_SYNTH_0013,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
ORD_SYNTH_0014,48556.81,2026-09-04,CUST_5371,completed,PAY_SYNTH_0014,synthetic,run_2bd12aca,batch_2ecfd000,2026-09-04T17:43:24.161591+00:00
